primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename,len_sec_labels,path,frames,sr,duration
yebapa1,[],['song'],-3.3923,36.7049,Apalis flavida,Yellow-breasted Apalis,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/422175,yebapa1/XC422175.ogg,0,/kaggle/input/birdclef-2023/train_audio/yebapa1/XC422175.ogg,405504,32000,12.672
yebapa1,[],['song'],-0.6143,34.0906,Apalis flavida,Yellow-breasted Apalis,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/289562,yebapa1/XC289562.ogg,0,/kaggle/input/birdclef-2023/train_audio/yebapa1/XC289562.ogg,796630,32000,24.8946875
combuz1,[],['call'],51.8585,-8.2699,Buteo buteo,Common Buzzard,Irish Wildlife Sounds,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/626969,combuz1/XC626969.ogg,0,/kaggle/input/birdclef-2023/train_audio/combuz1/XC626969.ogg,254112,32000,7.941
chibat1,['laudov1'],"['adult', 'sex uncertain', 'song']",-33.1465,26.4001,Batis molitor,Chinspot Batis,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/664196,chibat1/XC664196.ogg,1,/kaggle/input/birdclef-2023/train_audio/chibat1/XC664196.ogg,1040704,32000,32.522
carcha1,[],['song'],-34.011,18.8078,Cossypha caffra,Cape Robin-Chat,Shannon Ronaldson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.0,https://www.xeno-canto.org/322333,carcha1/XC322333.ogg,0,/kaggle/input/birdclef-2023/train_audio/carcha1/XC322333.ogg,40124,32000,1.253875
beasun2,[],[''],-2.814,37.5034,Cinnyris pulchellus,Beautiful Sunbird,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/728964,beasun2/XC728964.ogg,0,/kaggle/input/birdclef-2023/train_audio/beasun2/XC728964.ogg,641280,32000,20.04
carwoo1,['vimwea1'],['call'],-2.8145,37.4113,Chloropicus fuscescens,Cardinal Woodpecker,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/397514,carwoo1/XC397514.ogg,1,/kaggle/input/birdclef-2023/train_audio/carwoo1/XC397514.ogg,142080,32000,4.44
wlwwar,[],['song'],55.8917,-3.2433,Phylloscopus trochilus,Willow Warbler,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/133947,wlwwar/XC133947.ogg,0,/kaggle/input/birdclef-2023/train_audio/wlwwar/XC133947.ogg,632790,32000,19.7746875
thrnig1,[],['song'],55.7001,12.3001,Luscinia luscinia,Thrush Nightingale,Niels Krabbe,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/25659,thrnig1/XC25659.ogg,0,/kaggle/input/birdclef-2023/train_audio/thrnig1/XC25659.ogg,1169450,32000,36.5453125
wlwwar,[],['call'],-0.6902,34.1517,Phylloscopus trochilus,Willow Warbler,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/344497,wlwwar/XC344497.ogg,0,/kaggle/input/birdclef-2023/train_audio/wlwwar/XC344497.ogg,306782,32000,9.5869375
categr,[],['flight call'],17.1583,-96.7624,Bubulcus ibis,Cattle Egret,Manuel Grosselet,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,http://xeno-canto.org/682210,categr/XC682210.ogg,0,/kaggle/input/birdclef-2023/train_audio/categr/XC682210.ogg,223190,32000,6.9746875
